DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-02 23:00:00,Affluent,Std,28,0.975814814815
2011-12-02 23:00:00,Affluent,ToU,6,0.361875
2011-12-02 23:00:00,Comfortable,Std,37,0.711535483871
2011-12-02 23:00:00,Comfortable,ToU,4,0.600166666667
2011-12-03 00:00:00,Adversity,Std,21,0.401108333333
2011-12-03 00:00:00,Adversity,ToU,4,0.9545
2011-12-03 00:00:00,Affluent,Std,28,0.688999999999
2011-12-03 00:00:00,Affluent,ToU,6,0.3205
2011-12-03 00:00:00,Comfortable,Std,37,0.453780645161
2011-12-03 00:00:00,Comfortable,ToU,4,0.381666666667
2011-12-03 01:00:00,Adversity,Std,21,0.3926
2011-12-03 01:00:00,Adversity,ToU,4,0.7265
2011-12-03 01:00:00,Affluent,Std,29,0.818089283929
2011-12-03 01:00:00,Affluent,ToU,6,0.251625
2011-12-03 01:00:00,Comfortable,Std,37,0.325769892473
2011-12-03 01:00:00,Comfortable,ToU,4,0.375999999999
2011-12-03 02:00:00,Adversity,Std,21,0.324708333333
2011-12-03 02:00:00,Adversity,ToU,4,0.730166666667
2011-12-03 02:00:00,Affluent,Std,29,0.624928571429
2011-12-03 02:00:00,Affluent,ToU,6,0.258125
2011-12-03 02:00:00,Comfortable,Std,37,0.371348387097
2011-12-03 02:00:00,Comfortable,ToU,4,0.316500000001
2011-12-03 03:00:00,Adversity,Std,21,0.646558333333
2011-12-03 03:00:00,Adversity,ToU,4,0.7225
2011-12-03 03:00:00,Affluent,Std,29,0.630535710714
2011-12-03 03:00:00,Affluent,ToU,6,0.16425
2011-12-03 03:00:00,Comfortable,Std,37,0.233948387097
2011-12-03 03:00:00,Comfortable,ToU,4,0.239833333334
2011-12-03 04:00:00,Adversity,Std,21,0.213825
2011-12-03 04:00:00,Adversity,ToU,4,0.728
2011-12-03 04:00:00,Affluent,Std,29,0.614571432143
2011-12-03 04:00:00,Affluent,ToU,6,0.198875
2011-12-03 04:00:00,Comfortable,Std,37,0.224103225806
2011-12-03 04:00:00,Comfortable,ToU,4,0.165333333333
2011-12-03 05:00:00,Adversity,Std,21,0.201483333333
2011-12-03 05:00:00,Adversity,ToU,4,0.723
2011-12-03 05:00:00,Affluent,Std,29,0.542178571429
2011-12-03 05:00:00,Affluent,ToU,6,0.19425
2011-12-03 05:00:00,Comfortable,Std,37,0.2776
2011-12-03 05:00:00,Comfortable,ToU,4,0.170166666667
2011-12-03 06:00:00,Adversity,Std,21,0.222383333333
2011-12-03 06:00:00,Adversity,ToU,4,0.723666666667
2011-12-03 06:00:00,Affluent,Std,29,0.501482142857
2011-12-03 06:00:00,Affluent,ToU,6,0.200875
2011-12-03 06:00:00,Comfortable,Std,37,0.277987096774
2011-12-03 06:00:00,Comfortable,ToU,4,0.255666666666
2011-12-03 07:00:00,Adversity,Std,21,0.26905
2011-12-03 07:00:00,Adversity,ToU,4,0.653
2011-12-03 07:00:00,Affluent,Std,29,0.586071428572
2011-12-03 07:00:00,Affluent,ToU,6,0.195125
2011-12-03 07:00:00,Comfortable,Std,37,0.360784946237
2011-12-03 07:00:00,Comfortable,ToU,4,0.271333333333
2011-12-03 08:00:00,Adversity,Std,21,0.475516666667
2011-12-03 08:00:00,Adversity,ToU,4,0.7585
2011-12-03 08:00:00,Affluent,Std,29,0.825392857142
2011-12-03 08:00:00,Affluent,ToU,6,0.20625
2011-12-03 08:00:00,Comfortable,Std,37,0.389617204301
2011-12-03 08:00:00,Comfortable,ToU,4,0.292500000001
2011-12-03 09:00:00,Adversity,Std,20,0.890877130357
2011-12-03 09:00:00,Adversity,ToU,4,0.913166666667
2011-12-03 09:00:00,Affluent,Std,30,0.804710715476
2011-12-03 09:00:00,Affluent,ToU,6,0.40575
2011-12-03 09:00:00,Comfortable,Std,37,0.442006451613
2011-12-03 09:00:00,Comfortable,ToU,4,0.392666666667
2011-12-03 10:00:00,Adversity,Std,20,0.539803571428
2011-12-03 10:00:00,Adversity,ToU,4,0.813833333333
2011-12-03 10:00:00,Affluent,Std,30,0.946142854762
2011-12-03 10:00:00,Affluent,ToU,6,0.233125
2011-12-03 10:00:00,Comfortable,Std,38,0.461388288766
2011-12-03 10:00:00,Comfortable,ToU,5,0.282758333334
2011-12-03 11:00:00,Adversity,Std,20,0.733607142857
2011-12-03 11:00:00,Adversity,ToU,4,0.9065
2011-12-03 11:00:00,Affluent,Std,30,1.50267857143
2011-12-03 11:00:00,Affluent,ToU,6,0.490625
2011-12-03 11:00:00,Comfortable,Std,39,0.734378472222
2011-12-03 11:00:00,Comfortable,ToU,5,0.375625
2011-12-03 12:00:00,Adversity,Std,20,0.823178571428
2011-12-03 12:00:00,Adversity,ToU,4,1.00666666667
2011-12-03 12:00:00,Affluent,Std,31,1.10635022812
2011-12-03 12:00:00,Affluent,ToU,6,0.31775
2011-12-03 12:00:00,Comfortable,Std,42,0.699458198052
2011-12-03 12:00:00,Comfortable,ToU,5,0.30525
2011-12-03 13:00:00,Adversity,Std,20,1.011375025
2011-12-03 13:00:00,Adversity,ToU,4,0.733333333333
2011-12-03 13:00:00,Affluent,Std,31,1.23037931034
2011-12-03 13:00:00,Affluent,ToU,6,0.419625
2011-12-03 13:00:00,Comfortable,Std,42,0.806045456566
2011-12-03 13:00:00,Comfortable,ToU,5,0.70475
2011-12-03 14:00:00,Adversity,Std,21,0.774919217687
2011-12-03 14:00:00,Adversity,ToU,4,0.926166666667
2011-12-03 14:00:00,Affluent,Std,31,0.50275862069
2011-12-03 14:00:00,Affluent,ToU,6,0.259
2011-12-03 14:00:00,Comfortable,Std,42,0.919489911111
2011-12-03 14:00:00,Comfortable,ToU,5,0.4645
2011-12-03 15:00:00,Adversity,Std,22,0.957068181818
2011-12-03 15:00:00,Adversity,ToU,4,0.871333333333
2011-12-03 15:00:00,Affluent,Std,31,0.504275862069
2011-12-03 15:00:00,Affluent,ToU,6,0.209375
2011-12-03 15:00:00,Comfortable,Std,42,0.939287878788
2011-12-03 15:00:00,Comfortable,ToU,5,0.345625
2011-12-03 16:00:00,Adversity,Std,22,0.584733333333
2011-12-03 16:00:00,Adversity,ToU,4,0.718666666667
2011-12-03 16:00:00,Affluent,Std,31,0.58840229885
2011-12-03 16:00:00,Affluent,ToU,6,0.266625
2011-12-03 16:00:00,Comfortable,Std,42,0.76855050505
2011-12-03 16:00:00,Comfortable,ToU,5,0.811375
2011-12-03 17:00:00,Adversity,Std,22,0.62745
2011-12-03 17:00:00,Adversity,ToU,4,0.380833333333
2011-12-03 17:00:00,Affluent,Std,31,0.630425287356
2011-12-03 17:00:00,Affluent,ToU,6,1.22687495
2011-12-03 17:00:00,Comfortable,Std,42,0.899772727272
2011-12-03 17:00:00,Comfortable,ToU,5,0.98825
2011-12-03 18:00:00,Adversity,Std,22,1.0331
2011-12-03 18:00:00,Adversity,ToU,4,0.842666666667
