DateTime,Acorn_grouped,stdorToU,N,nrg_cons
2011-12-03 17:00:00,Adversity,ToU,4,0.267333333333
2011-12-03 17:00:00,Affluent,Std,31,0.424643678161
2011-12-03 17:00:00,Affluent,ToU,6,0.757249975
2011-12-03 17:00:00,Comfortable,Std,42,0.677585858586
2011-12-03 17:00:00,Comfortable,ToU,5,0.62675
2011-12-03 18:00:00,Adversity,Std,22,0.694441666666
2011-12-03 18:00:00,Adversity,ToU,4,0.543833333333
2011-12-03 18:00:00,Affluent,Std,31,0.407850577012
2011-12-03 18:00:00,Affluent,ToU,6,0.771375
2011-12-03 18:00:00,Comfortable,Std,42,0.694878787879
2011-12-03 18:00:00,Comfortable,ToU,5,0.38525
2011-12-03 19:00:00,Adversity,Std,22,0.652491666667
2011-12-03 19:00:00,Adversity,ToU,4,0.584
2011-12-03 19:00:00,Affluent,Std,31,0.572287357471
2011-12-03 19:00:00,Affluent,ToU,6,0.66675
2011-12-03 19:00:00,Comfortable,Std,42,0.873616172727
2011-12-03 19:00:00,Comfortable,ToU,5,0.340375
2011-12-03 20:00:00,Adversity,Std,22,0.685033333333
2011-12-03 20:00:00,Adversity,ToU,4,0.624166666667
2011-12-03 20:00:00,Affluent,Std,31,0.598425287356
2011-12-03 20:00:00,Affluent,ToU,6,0.761749975
2011-12-03 20:00:00,Comfortable,Std,42,0.806404040404
2011-12-03 20:00:00,Comfortable,ToU,5,0.38125
2011-12-03 21:00:00,Adversity,Std,22,0.847516679167
2011-12-03 21:00:00,Adversity,ToU,4,0.631666666667
2011-12-03 21:00:00,Affluent,Std,31,0.622609196552
2011-12-03 21:00:00,Affluent,ToU,6,0.524875
2011-12-03 21:00:00,Comfortable,Std,42,0.749146463636
2011-12-03 21:00:00,Comfortable,ToU,5,0.392625
2011-12-03 22:00:00,Adversity,Std,22,0.598441666667
2011-12-03 22:00:00,Adversity,ToU,4,0.665333333333
2011-12-03 22:00:00,Affluent,Std,31,1.16756318506
2011-12-03 22:00:00,Affluent,ToU,6,0.755375
2011-12-03 22:00:00,Comfortable,Std,42,0.649545454545
2011-12-03 22:00:00,Comfortable,ToU,5,0.37975
2011-12-03 23:00:00,Adversity,Std,22,0.462575
2011-12-03 23:00:00,Adversity,ToU,4,0.352666666667
2011-12-03 23:00:00,Affluent,Std,31,1.08777011609
2011-12-03 23:00:00,Affluent,ToU,6,0.26175
2011-12-03 23:00:00,Comfortable,Std,42,0.500075757576
2011-12-03 23:00:00,Comfortable,ToU,5,0.3845
2011-12-04 00:00:00,Adversity,Std,22,0.47625
2011-12-04 00:00:00,Adversity,ToU,4,0.2605
2011-12-04 00:00:00,Affluent,Std,31,0.663
2011-12-04 00:00:00,Affluent,ToU,6,0.202375
2011-12-04 00:00:00,Comfortable,Std,42,0.363373737374
2011-12-04 00:00:00,Comfortable,ToU,5,0.331375
2011-12-04 01:00:00,Adversity,Std,22,0.419383333333
2011-12-04 01:00:00,Adversity,ToU,4,0.216
2011-12-04 01:00:00,Affluent,Std,31,0.314344827586
2011-12-04 01:00:00,Affluent,ToU,6,0.182375
2011-12-04 01:00:00,Comfortable,Std,42,0.328616160606
2011-12-04 01:00:00,Comfortable,ToU,5,0.2815
2011-12-04 02:00:00,Adversity,Std,22,0.205833333334
2011-12-04 02:00:00,Adversity,ToU,4,0.2175
2011-12-04 02:00:00,Affluent,Std,31,0.246816094253
2011-12-04 02:00:00,Affluent,ToU,6,0.14
2011-12-04 02:00:00,Comfortable,Std,42,0.231853535353
2011-12-04 02:00:00,Comfortable,ToU,5,0.23425
2011-12-04 03:00:00,Adversity,Std,22,0.201525
2011-12-04 03:00:00,Adversity,ToU,4,0.217333333333
2011-12-04 03:00:00,Affluent,Std,31,0.224942529885
2011-12-04 03:00:00,Affluent,ToU,6,0.12775
2011-12-04 03:00:00,Comfortable,Std,42,0.204959594949
2011-12-04 03:00:00,Comfortable,ToU,5,0.13
2011-12-04 04:00:00,Adversity,Std,22,0.176666666667
2011-12-04 04:00:00,Adversity,ToU,4,0.4825
2011-12-04 04:00:00,Affluent,Std,31,0.206425287356
2011-12-04 04:00:00,Affluent,ToU,6,0.121
2011-12-04 04:00:00,Comfortable,Std,42,0.208484848485
2011-12-04 04:00:00,Comfortable,ToU,5,0.124
2011-12-04 05:00:00,Adversity,Std,22,0.179483333333
2011-12-04 05:00:00,Adversity,ToU,4,0.4795
